employee_id,hire_date,department,level,salary,tenure_years,performance_score,projects_completed,hours_worked,bonus_amount
EMP-0316,2025-10-22,Marketing,Junior,67105.46,0.4,74.2,7,189,6710.55
EMP-0317,2025-10-24,Sales,Junior,50722.66,3.8,55.8,2,165,6086.72
EMP-0318,2025-10-27,Engineering,Junior,59244.8,7.2,60.3,5,186,8886.72
EMP-0319,2025-10-27,Engineering,Junior,66890.74,0.6,86.4,0,157,10033.61
EMP-0320,2025-11-01,Engineering,Junior,47496.81,0.8,64.1,3,171,7124.52
EMP-0321,2025-11-03,Sales,Junior,62093.25,10.7,,9,194,7451.19
EMP-0322,2025-11-04,Marketing,Senior,106583.36,0.6,78.4,6,165,10658.34
EMP-0323,2025-11-05,Marketing,Junior,67086.72,5.8,86.2,8,158,6708.67
EMP-0324,2025-11-06,Engineering,Mid,99073.86,2.0,80.6,5,183,14861.08
EMP-0325,2025-11-07,Finance,Mid,98216.53,0.9,84.0,5,183,10803.82
EMP-0326,2025-11-08,Marketing,Lead,145556.0,6.1,62.9,5,159,14555.6
EMP-0327,2025-11-09,Marketing,Junior,65714.94,1.8,54.9,2,130,6571.49
EMP-0328,2025-11-11,Marketing,Mid,95025.58,2.2,90.0,9,158,9502.56
EMP-0329,2025-11-15,Sales,Lead,136869.63,1.3,68.1,5,184,16424.36
EMP-0330,2025-11-15,Engineering,Senior,129972.28,2.7,69.0,1,154,19495.84
EMP-0331,2025-11-15,Sales,Senior,95128.34,0.5,87.9,4,170,11415.4
EMP-0332,2025-11-18,HR,Junior,59867.94,1.5,78.7,5,157,4789.43
EMP-0333,2025-11-22,Engineering,Junior,51810.19,10.5,77.5,3,131,7771.53
EMP-0334,2025-11-24,Engineering,Mid,71858.14,0.9,98.0,5,156,10778.72
EMP-0335,2025-11-29,Engineering,Lead,123309.38,3.2,64.3,3,183,18496.41
EMP-0336,2025-12-06,Engineering,Mid,90281.24,1.2,83.1,4,123,13542.19
EMP-0337,2025-12-09,Finance,Mid,78876.0,4.5,72.7,3,175,8676.36
EMP-0338,2025-12-10,Marketing,Junior,62694.87,0.4,75.2,1,146,6269.49
EMP-0339,2025-12-11,Sales,Senior,,10.5,90.3,5,182,
EMP-0340,2025-12-11,Engineering,Junior,53686.39,1.8,78.1,3,184,8052.96
EMP-0341,2025-12-18,Sales,Junior,58618.81,0.8,78.5,2,167,7034.26
EMP-0342,2025-12-20,Sales,Mid,93303.14,0.2,84.9,2,167,11196.38
EMP-0343,2025-12-20,Engineering,Mid,78200.08,0.6,67.6,4,154,11730.01
EMP-0344,2025-12-20,Sales,Junior,60519.61,2.2,61.9,2,143,7262.35
EMP-0345,2025-12-21,Sales,Junior,66241.51,1.2,59.5,4,204,7948.98
EMP-0346,2025-12-24,Marketing,Mid,87707.62,5.3,48.4,3,153,8770.76
EMP-0347,2025-12-24,Marketing,Junior,51875.11,1.7,96.7,2,201,5187.51
EMP-0348,2025-12-28,Engineering,Mid,68780.83,0.9,58.8,3,153,10317.12
EMP-0349,2025-12-29,Sales,Junior,65892.18,2.9,69.3,10,181,7907.06
EMP-0350,2025-12-30,Marketing,Mid,68680.62,3.7,68.7,4,147,6868.06
EMP-0134,2024-10-25,Sales,Mid,73644.38,8.1,,5,148,8837.33
EMP-0098,2024-07-25,Sales,Senior,118365.86,3.2,70.8,2,146,14203.9
EMP-9999,2025-06-15,'; DROP TABLE employees; --,Junior,60000.0,1.5,75.0,3,170,5000.0
